CCD NAME	STATE	GHCND ID	GHCND NAME	Latitude	Longitude	Jan_wnd	Feb_wnd	Mar_wnd	Apr_wnd	May_wnd	Jun_wnd	Jul_wnd	Aug_wnd	Sep_wnd	Oct_wnd	Nov_wnd	Dec_wnd	Jan_rhmin	Feb_rhmin	Mar_rhmin	Apr_rhmin	May_rhmin	Jun_rhmin	Jul_rhmin	Aug_rhmin	Sep_rhmin	Oct_rhmin	Nov_rhmin	Dec_rhmin
SAINT CLOUD	MN	USW00014926	ST CLOUD RGNL AP	45.5433	-94.0514	8.5	8.5	9	9.7	9	7.9	6.9	6.7	7.6	8.4	8.7	8.3	70	67	63	51	50	55	55	58	58	58	67	72
JACKSON	MS	USW00003940	JACKSON INTL AP	32.3206	-90.0778	7.2	7.5	7.6	7.2	6.1	5.2	4.6	4.5	5.3	5.5	6.2	6.9	62	59	55	54	55	56	58	57	56	53	57	62
MERIDIAN	MS	USW00013865	MERIDIAN KEY FLD	32.3347	-88.7442	6.8	7.3	7.3	6.9	5.7	4.9	4.5	4.4	5	5.1	5.8	6.4	60	57	53	51	54	55	58	56	55	52	54	60
TUPELO	MS	USW00093862	TUPELO RGNL AP	34.2622	-88.7714	7.5	7.9	8	7.5	6.4	5.4	4.9	4.9	5.7	5.8	6.6	7.2	62	59	54	52	55	56	57	55	54	53	57	63
COLUMBIA	MO	USW00003945	COLUMBIA RGNL AP	38.8169	-92.2183	10.5	10.6	11.2	11.2	9.2	8.3	7.5	7.4	8.1	9.3	10.4	10.3	66	63	58	55	60	60	58	58	57	57	62	68
KANSAS CITY	MO	USW00003947	KANSAS CITY INTL AP	39.2972	-94.7306	11	10.9	12	12.1	10.3	9.8	8.9	8.5	9.3	10.2	11	10.6	64	62	57	56	59	60	59	59	58	56	61	65
ST. LOUIS	MO	USW00013994	ST LOUIS LAMBERT INTL AP	38.7525	-90.3736	10.1	10.1	10.5	10.5	9.1	8.3	7.6	7.2	7.5	8.6	9.5	9.6	65	62	57	53	55	55	55	55	54	54	59	66
SPRINGFIELD	MO	USW00013995	SPRINGFIELD	37.2353	-93.4003	10.1	10.3	11	10.7	9.1	8.4	7.4	7.3	7.9	9	10	10	63	60	57	55	60	60	57	55	56	55	59	64
BILLINGS	MT	USW00024033	BILLINGS LOGAN INTL AP	45.8069	-108.5422	13.4	11.9	10.8	10.6	9.9	9.4	8.8	8.8	9.3	10.5	11.8	12.8	58	53	48	43	43	40	31	30	37	45	54	57
GLASGOW	MT	USW00094008	GLASGOW INTL AP	48.2138	-106.6213	9.5	9.5	11.2	12.1	12	11.1	10.5	10.7	10.4	10.5	9.7	9.4	75	73	59	42	40	41	33	31	38	49	66	75
GREAT FALLS	MT	USW00024143	GREAT FALLS INTL AP	47.4733	-111.3822	13.9	12.2	11.9	11.4	10.5	9.9	9.1	9.1	10	11.8	13.6	14	61	56	50	42	41	41	30	29	37	46	56	61
HAVRE	MT	USW00094012	HAVRE CITY CO AP	48.5428	-109.7633	10	9.2	9.8	10.4	10	9.5	8.5	8.3	8.5	9.2	9.8	10	70	66	54	41	39	39	30	30	37	48	64	70
HELENA	MT	USW00024144	HELENA RGNL AP	46.6056	-111.9636	5.7	6.4	7.5	8.3	8	7.9	7.2	6.5	6.4	6.5	6.3	5.7	64	56	47	40	39	39	29	29	35	45	58	66
KALISPELL	MT	USC00244558	KALISPELL GLACIER AP	48.3042	-114.2636	4.3	4.9	6	7	6.7	6	5.6	5.5	5.1	4.6	4.8	4.1	77	68	55	44	43	45	35	34	42	56	73	80
MISSOULA	MT	USW00024153	MISSOULA INTL AP	46.9208	-114.0925	4	4.8	5.8	6.7	6.5	6.6	6.3	5.8	5.2	4.5	4.4	4.1	76	66	52	42	42	42	29	29	37	51	71	79
GRAND ISLAND	NE	USW00014935	GRAND ISLAND AP	40.9611	-98.3136	11.2	11.6	12.6	13.4	12	11	9.3	9	10.3	11	11.3	11.1	64	62	57	51	54	52	54	55	51	49	56	63
LINCOLN	NE	USW00014939	LINCOLN MUNI AP	40.8508	-96.7475	9.3	9.8	11.1	12	10.5	9.9	8.8	8.5	9.2	9.6	9.8	9.3	65	64	58	52	55	54	54	56	53	52	57	64
NORFOLK	NE	USW00014941	NORFOLK KARL STEFAN AP	41.9856	-97.4353	11	11.2	12	12.5	11.2	10.1	9	8.8	9.9	10.4	10.8	10.8	64	64	59	50	51	53	54	56	52	50	58	66
NORTH PLATTE	NE	USW00024023	NORTH PLATTE RGNL AP	41.1214	-100.6694	8.5	9.2	10.4	11.6	10.4	9.5	8.5	8.1	8.8	9	8.7	8.3	61	59	53	48	52	52	51	52	48	47	53	59
OMAHA	NE	USW00014942	OMAHA EPPLEY AIRFIELD	41.3103	-95.8992	10.2	10.4	11.4	11.8	10.4	9.6	8.5	8.2	9.2	9.7	10.4	10.2	66	64	58	52	54	56	57	59	56	54	60	67
SCOTTSBLUFF	NE	USW00024028	SCOTTSBLUFF HEILIG AP	41.8706	-103.5931	10	10.4	11	11.7	10.9	10	8.6	8.3	8.5	9.2	9.5	9.5	59	52	45	42	44	41	38	40	40	44	54	60
VALENTINE	NE	USW00024032	VALENTINE MILLER FLD	42.8783	-100.55	9.4	9.6	10.4	11.3	11.1	10.1	9.2	9.2	9.8	9.8	9.6	9.4	61	59	53	48	47	48	45	46	44	46	52	59
ELKO	NV	USW00024121	ELKO RGNL AP	40.8289	-115.7886	4.7	5.4	6.3	6.9	6.6	6.5	6.1	5.7	5.3	4.9	5	4.8	62	54	42	34	30	24	18	18	21	29	49	63
ELY	NV	USW00023154	ELY YELLAND FLD AP	39.2953	-114.8467	9	9.2	9.9	10.1	9.8	10	9.5	9.6	9.4	9.2	9	9.1	57	51	41	34	30	22	21	22	23	32	46	56
LAS VEGAS	NV	USW00023169	LAS VEGAS MCCARRAN AP	36.0719	-115.1633	6.8	7.8	9.3	10.4	10.4	10.4	9.2	8.8	8.1	7.5	7	6.7	32	27	21	16	13	10	15	17	16	19	26	32
RENO	NV	USW00023185	RENO TAHOE INTL AP	39.4839	-119.7711	4.5	5.8	7.5	8.3	8.1	7.8	7.2	6.6	5.6	4.9	5.1	5	51	41	33	28	26	21	18	18	21	27	40	51
WINNEMUCCA	NV	USW00024128	WINNEMUCCA MUNI AP	40.9017	-117.8081	6.9	7.8	8.4	8.5	8.3	8.5	7.8	7.5	7.2	6.8	7.1	7	59	48	37	30	27	21	15	16	20	29	47	60
CONCORD	NH	USW00014745	CONCORD MUNI AP	43.1953	-71.5011	6.6	7.2	7.4	7.1	6.3	5.7	5.1	4.6	4.8	5.4	5.9	6.3	58	54	52	45	47	51	51	52	54	53	58	61
MT. WASHINGTON	NH	USW00014755	MT WASHINGTON	44.2667	-71.2994	46.8	44.9	40.8	35	30.2	28.8	26	25.4	29.3	36.3	40.3	44.2	0	0	0	0	0	0	0	0	0	0	0	0
ATLANTIC CITY	NJ	USW00093730	ATLANTIC CITY INTL AP	39.4494	-74.5672	9.5	10	10.7	10.3	8.9	7.9	7.4	6.9	7.4	7.8	8.7	9.1	58	55	53	51	55	56	57	58	58	56	56	59
NEWARK	NJ	USW00014734	NEWARK INTL AP	40.6825	-74.1694	10.7	10.9	11.3	10.6	9.5	9.3	8.7	8.4	8.8	9.4	10	10.3	57	53	50	47	51	51	51	52	54	52	54	57
ALBUQUERQUE	NM	USW00023050	ALBUQUERQUE INTL AP	35.0419	-106.6156	7.3	8.2	9	10.1	9.8	9.1	8.2	7.6	7.6	7.6	7.3	6.9	40	32	24	19	19	17	28	30	29	30	34	43
CLAYTON	NM	USW00023051	CLAYTON MUNI AIR PK	36.4486	-103.1539	11.5	12.4	13	14	13	12.6	11.3	10.4	11.3	11.7	12	11.7	47	42	36	33	35	34	40	43	42	43	47	52
ROSWELL	NM	USW00023009	ROSWELL IND AIR PK	33.3075	-104.5083	7.5	8.6	9.6	10.4	9.9	9.8	8.5	7.6	7.8	7.7	7.6	7.2	40	33	25	22	23	24	31	34	38	37	39	43
ALBANY	NY	USW00014735	ALBANY AP	42.7431	-73.8092	8.7	9.1	9.6	9.2	7.8	7.3	6.6	6	6.3	7.2	8.3	8.4	63	59	54	48	51	54	54	56	57	57	61	65
BINGHAMTON	NY	USW00004725	BINGHAMTON	42.1997	-75.985	9.8	9.9	10.1	9.8	8.6	8.1	7.3	7	7.7	8.6	9.4	9.6	70	65	61	55	55	59	58	59	63	61	67	72
BUFFALO	NY	USW00014733	BUFFALO	42.9486	-78.7369	12.5	11.8	11.1	10.8	10	9.3	9	8.3	8.5	9.8	11	11.6	72	69	64	57	55	57	55	57	59	60	67	71
ISLIP	NY	USW00004781	ISLIP LI MACARTHUR AP	40.7939	-73.1017	9.9	10.2	10.7	10.1	8.8	8.4	7.8	7.5	7.9	8.5	9.3	9.6	59	56	55	52	57	59	59	60	61	58	58	59
NEW YORK Central Park	NY	USW00094728	NEW YORK CNTRL PK TWR	40.7789	-73.9692	7.6	7.7	7.8	7	5.8	5.1	4.8	4.4	5	5.7	6.3	7.1	56	53	50	47	53	56	54	55	57	55	56	58
NEW YORK JFK AP	NY	USW00094789	NEW YORK JFK INTL AP	40.6386	-73.7622	12.6	12.6	12.9	12	10.5	10.1	9.8	9.4	9.8	10.7	11.6	12.3	59	57	55	54	58	60	58	59	59	57	58	59
NEW YORK Laguardia AP	NY	USW00014732	NEW YORK LAGUARDIA AP	40.7794	-73.8803	12.7	12.7	12.7	11.8	10.6	10.2	9.6	9.5	10.1	10.9	11.8	12.4	57	54	52	50	52	53	52	54	56	55	56	58
ROCHESTER	NY	USW00014768	ROCHESTER GTR INTL AP	43.1167	-77.6767	10.6	10.3	10.2	10	8.7	8.1	7.4	7	7.3	8.5	9.4	9.9	69	67	62	55	53	55	54	56	59	60	66	71
SYRACUSE	NY	USW00014771	SYRACUSE HANCOCK INTL AP	43.1111	-76.1039	9.7	9.6	9.6	9.2	7.9	7.2	6.8	6.3	6.8	7.8	9.1	9.4	68	65	60	53	53	55	55	56	59	59	65	70
ASHEVILLE	NC	USW00003812	ASHEVILLE RGNL AP	35.4319	-82.5375	8.6	8.5	8.4	7.8	6.2	5.2	4.9	4.5	4.7	5.8	7.2	7.7	57	54	51	48	54	57	60	60	59	54	53	57
CAPE HATTERAS	NC	USW00093729	CAPE HATTERAS AP	35.2325	-75.6219	10.1	10.1	10.6	10.6	9.8	9.5	9	8.4	9.4	9.3	9.5	9.8	67	65	63	61	66	68	70	69	68	65	65	67
CHARLOTTE	NC	USW00013881	CHARLOTTE DOUGLAS AP	35.2236	-80.9553	6.6	7.1	7.7	7.6	6.7	6	5.7	5.4	6.1	5.7	6	6.1	54	51	49	46	51	53	55	56	56	52	51	54
GREENSBORO-WNSTN-SALM-HGHPT	NC	USW00013723	PIEDMONT TRIAD INTL AP	36.0969	-79.9433	7.7	8	8.5	8.6	7.4	6.7	6.3	5.8	6.2	6.3	6.9	7	54	51	49	46	53	54	57	58	58	53	51	54
RALEIGH	NC	USW00013722	RALEIGH DURHAM INTL AP	35.8922	-78.7819	6.9	7.2	7.8	7.9	6.9	6.3	6.1	5.6	5.9	5.6	5.8	6.2	53	51	48	46	53	54	56	58	57	53	51	54
WILMINGTON	NC	USW00013748	WILMINGTON INTL AP	34.2675	-77.8997	8	8.4	9.1	9.2	8.2	7.6	7.2	6.5	7.2	6.8	7.1	7.3	56	53	52	49	55	59	62	64	62	56	54	56
BISMARCK	ND	USW00024011	BISMARCK	46.7708	-100.7603	9.2	9.1	10.1	10.8	10.6	9.5	8.6	8.6	9	9.4	9	9.1	71	69	64	50	49	53	49	48	50	53	65	71
FARGO	ND	USW00014914	FARGO HECTOR INTL AP	46.9253	-96.8111	11.4	11.5	11.9	12.4	12.1	10.5	9.3	9.5	10.5	11.6	11.5	11.4	72	72	69	55	50	56	55	55	56	59	69	74
GRAND FORKS	ND	USW00014916	GRAND FORKS INTL AP	47.9428	-97.1839	11	10.7	11	11.4	11.2	9.6	8.4	8.5	9.7	10.5	10.6	10.7	74	74	71	57	51	56	56	55	56	59	71	76
WILLISTON	ND	USW00094014	WILLISTON SLOULIN INTL AP	48.1739	-103.6367	8.8	8.7	9.4	10.4	10.4	9.7	8.7	8.5	8.7	9.1	8.6	8.6	74	72	64	50	48	50	46	45	49	55	68	74
AKRON	OH	USW00014895	AKRON CANTON RGNL AP	40.9167	-81.4333	11	10.5	10.4	10.1	8.6	7.9	7.2	6.9	7.5	8.7	10	10.3	70	67	61	54	55	56	56	57	58	58	64	71
CINCINNATI	OH	USW00093814	CINCINNATI NORTHERN KY AP	39.0431	-84.6717	9.7	9.7	9.9	9.7	7.9	7.1	6.6	6.3	6.7	7.6	8.9	9.1	68	64	58	53	55	56	57	56	55	55	61	68
CLEVELAND	OH	USW00014820	CLEVELAND	41.4131	-81.86	11.4	10.7	10.8	10.3	9.1	8.4	7.8	7.5	8.1	9.3	10.6	10.8	70	67	62	56	56	57	56	58	58	59	64	70
COLUMBUS	OH	USW00014821	COLUMBUS PORT COLUMBUS INTL AP	39.9914	-82.8808	9.1	8.9	9	8.9	7.4	6.7	6.1	5.6	5.9	6.9	8.1	8.5	68	64	57	52	53	54	55	55	55	55	61	68
DAYTON	OH	USW00093815	DAYTON INTL AP	39.9061	-84.2186	11.1	10.8	10.8	10.7	9.2	8.3	7.4	6.9	7.6	8.9	10.3	10.5	70	66	60	54	55	55	55	55	54	55	63	71
MANSFIELD	OH	USW00014891	MANSFIELD LAHM MUNI AP	40.8203	-82.5178	11.7	11.1	11.2	11.2	9.6	8.5	7.6	7.2	7.9	9.5	10.8	10.9	73	70	64	57	56	58	57	59	59	58	66	74
TOLEDO	OH	USW00094830	TOLEDO EXPRESS AP	41.5886	-83.8014	10.4	10	10.1	10.3	8.7	7.6	6.8	6.2	6.7	8.1	9.5	9.7	70	66	59	53	52	53	54	57	56	56	65	72
YOUNGSTOWN	OH	USW00014852	YOUNGSTOWN RGNL AP	41.2544	-80.6739	10.2	9.9	9.9	9.7	8.2	7.3	6.8	6.4	7	8.2	9.4	9.7	71	67	62	55	54	56	56	57	59	59	65	72
OKLAHOMA CITY	OK	USW00013967	OKLAHOMA CITY WILL ROGERS AP	35.3889	-97.6006	11.6	12.2	13.3	13.3	11.8	10.8	9.9	9.3	9.8	10.9	11.9	11.3	59	57	53	52	58	57	51	50	54	53	54	58
TULSA	OK	USW00013968	TULSA INTL AP	36.1994	-95.8872	9.4	9.7	10.7	11	10	9.4	8.7	7.9	8	8.8	9.7	9.1	60	57	53	52	58	58	54	53	55	53	55	59
ASTORIA	OR	USW00094224	ASTORIA RGNL AP	46.1569	-123.8825	8.4	8.1	8.2	8.1	7.8	8	8.3	7.5	6.8	6.9	8.1	8.4	79	74	72	70	70	71	70	71	71	74	79	81
BURNS	OR	USW00094185	BURNS MUNI AP	43.595	-118.9564	4.8	6	7.5	8.4	8	7.6	6.9	6.7	6.3	5.9	5.4	5.1	77	67	50	39	36	30	20	19	24	40	64	78
EUGENE	OR	USW00024221	EUGENE MAHLON SWEET AP	44.1278	-123.2206	6.9	7.1	7.4	7.1	6.6	7	7.5	7.1	6.8	6.4	7	7.1	82	73	65	59	56	50	38	39	44	62	80	85
MEDFORD	OR	USW00024225	MEDFORD ROGUE VLY AP	42.3811	-122.8722	3.1	3.8	4.4	4.7	5.1	5.5	5.2	4.6	3.7	3.1	3.1	3.1	71	57	50	43	39	33	25	26	29	44	67	76
PENDLETON	OR	USW00024155	PENDLETON	45.6906	-118.8528	6.9	7.3	8.5	9.1	8.8	8.8	8.4	8.2	7.7	7.4	7.5	7	76	66	51	43	38	33	23	25	31	48	70	78
PORTLAND	OR	USW00024229	PORTLAND INTL AP	45.5908	-122.6003	9.2	8.6	7.7	7.1	6.6	6.9	7.1	6.7	6.1	6.3	8	9.2	76	66	60	55	53	50	44	44	48	62	74	78
SALEM	OR	USW00024232	SALEM MCNARY FLD	44.905	-123.0011	6.9	7	7.3	6.8	6.4	6.4	6.5	5.9	5.5	5.7	7.1	7	77	69	62	56	53	49	39	39	44	61	77	81
SEXTON SUMMIT	OR	USW00024235	SEXTON SUMMIT	42.6003	-123.3642	11.1	10	8.7	7.5	7	7.2	7.4	7	7.1	8.5	10.6	11.2	74	73	73	66	56	50	41	42	46	63	75	78
ALLENTOWN	PA	USW00014737	ALLENTOWN INTL AP	40.6508	-75.4492	8.3	8.6	9.2	8.7	7.5	6.9	6.2	5.7	6.1	6.8	7.4	7.8	61	57	52	49	52	54	53	55	56	55	58	62
ERIE	PA	USW00014860	ERIE INTL AP	42.08	-80.1825	12	10.9	10.7	10.2	9.2	8.6	8.1	8	8.9	10.2	11.7	11.8	72	71	67	61	61	63	63	63	63	63	66	71
MIDDLETOWN/HARRISBURG	PA	USW00014711	MIDDLETOWN HARRISBURG INTL AP	40.1936	-76.7633	8.6	8.9	9.4	8.8	7.2	6.5	5.9	5.4	5.8	6.3	7.5	8	60	57	54	50	53	53	53	55	57	56	58	62
PHILADELPHIA	PA	USW00013739	PHILADELPHIA INTL AP	39.8683	-75.2311	9.9	10.3	10.9	10.3	9	8.6	8.3	7.8	8.2	8.7	9.3	9.7	58	54	51	48	52	52	52	54	54	54	55	58
PITTSBURGH	PA	USW00094823	PITTSBURGH INTL AP	40.4847	-80.2144	9.2	9.2	9.3	9.1	7.6	7	6.3	5.9	6.3	7.1	8.2	8.6	66	62	56	50	52	53	54	55	56	55	60	66
AVOCA	PA	USW00014777	WILKES-BARRE INTL AP	41.3336	-75.7269	7.7	8	8.4	8.1	7	6.3	6	5.6	6	6.5	7.2	7.4	65	61	56	50	52	55	54	57	59	57	62	66
WILLIAMSPORT	PA	USW00014778	WILLIAMSPORT	41.2433	-76.9217	7.6	7.8	8	7.8	6.5	5.9	5.3	4.8	5.1	5.7	6.7	7.2	61	57	52	48	51	54	54	56	58	57	60	63
PROVIDENCE	RI	USW00014765	PROVIDENCE T F GREEN AP	41.7219	-71.4325	9.7	10.1	10.7	10.4	9.5	8.8	8.5	8.1	8.1	8.7	9.1	9.3	57	54	52	49	54	56	56	56	57	55	56	58
CHARLESTON	SC	USW00013782	CHARLESTON CITY	32.78	-79.9319	8.2	8.6	9.1	9.1	8.3	7.7	7.3	6.9	7.3	7.2	7.3	7.5	0	0	0	0	0	0	0	0	0	0	0	0
COLUMBIA	SC	USW00013883	COLUMBIA	33.9486	-81.1186	6.6	6.9	7.4	7.5	6.6	6	5.7	5.1	5.5	5.3	5.3	5.8	52	49	47	43	47	50	52	54	54	50	49	52
GREENVILLE-SPARTANBURG	SC	USW00003870	GREER	34.8831	-82.2203	7.2	7.5	8	7.9	6.8	6.1	5.7	5.3	5.9	6	6.3	6.6	53	50	49	47	52	53	55	57	57	52	51	55
ABERDEEN	SD	USW00014929	ABERDEEN	45.4558	-98.4131	10.5	10.7	11.5	12.5	12	10.5	9.1	9	10.2	10.7	10.5	10.4	72	71	67	53	51	56	54	54	53	55	66	73
HURON	SD	USW00014936	HURON RGNL AP	44.3981	-98.2231	10.5	10.6	11.4	11.8	11.1	9.8	9.1	8.9	9.9	10.3	10.6	10.5	70	70	65	54	54	57	53	54	53	54	64	71
RAPID CITY	SD	USW00024090	RAPID CITY RGNL AP	44.0433	-103.0536	10.4	10.9	11.7	12.6	11.7	10.4	9.6	9.4	10.1	10.8	10.4	10.2	64	62	55	48	49	50	42	39	41	49	60	65
SIOUX FALLS	SD	USW00014944	SIOUX FALLS	43.5878	-96.7289	10.3	10.4	11.4	12.1	11	9.8	9.1	8.7	9.5	9.9	10.3	10	69	67	64	53	53	56	55	57	55	55	62	70
BRISTOL-JHNSN CTY-KNGSPRT	TN	USW00013877	BRISTOL TRI CITY AP	36.4731	-82.4044	5.5	5.7	6	5.7	4.5	3.9	3.6	3.1	3.2	3.7	4.2	4.7	62	58	52	49	53	56	59	58	55	52	55	62
CHATTANOOGA	TN	USW00013882	CHATTANOOGA LOVELL AP	35.0311	-85.2014	5.8	6.2	6.5	6	5	4.4	4.2	3.9	4	4.2	4.7	5.3	60	56	52	48	53	55	56	56	56	53	56	60
KNOXVILLE	TN	USW00013891	KNOXVILLE MCGHEE TYSON AP	35.8181	-83.9858	6.7	7.1	7.3	7.2	6.2	5.6	5.4	4.8	4.8	5.1	5.5	6.1	63	59	54	51	55	57	59	58	57	54	57	63
MEMPHIS	TN	USW00013893	MEMPHIS INTL AP	35.0564	-89.9864	9	9.4	9.5	9.3	8.3	7.3	6.9	6.6	7.1	7.3	8.1	8.7	62	58	55	53	56	56	57	56	55	52	56	61
NASHVILLE	TN	USW00013897	NASHVILLE INTL AP	36.1189	-86.6892	8.1	8.3	8.6	8.1	6.9	6.1	5.9	5.6	5.8	6.3	7.3	7.8	64	59	54	51	55	55	56	55	55	53	57	63
ABILENE	TX	USW00013962	ABILENE RGNL AP	32.4106	-99.6822	10.7	11.4	12.5	13	12.1	11.3	10	8.9	9.1	10.3	10.8	10.5	52	52	47	46	51	50	46	45	50	50	50	51
AMARILLO	TX	USW00023047	AMARILLO	35.2333	-101.7089	12.1	12.8	13.9	14.7	13.8	13.9	12.4	11.4	12.1	12.4	12.6	12.2	49	49	41	38	43	44	42	45	46	44	44	48
AUSTIN	TX	USW00013958	AUSTIN-CAMP MABRY	30.3208	-97.7603	6.8	7.3	7.8	7.7	7.3	6.8	6.3	5.7	5.5	5.8	6.3	6.4	59	59	56	56	59	55	50	49	53	54	57	58
BROWNSVILLE	TX	USW00012919	BROWNSVILLE	25.9156	-97.4186	10	11.3	11.9	12.4	12.2	10.9	10.8	9.3	7.9	8.6	9.4	9.8	65	63	60	59	60	59	55	55	61	59	60	64
CORPUS CHRISTI	TX	USW00012924	CORPUS CHRISTI	27.7839	-97.5108	11.8	12.9	13.5	13.9	12.6	10.8	10.8	10.3	9.6	10.6	11.6	11.7	66	64	61	62	64	62	57	56	61	59	60	63
DALLAS	TX	USW00013960	DALLAS LOVE FLD	32.8519	-96.8556	8.9	10	10.8	11.4	10.9	10.5	8.9	8.2	7.9	8.7	9	8.9	58	57	53	55	56	53	49	48	52	52	54	57
DEL RIO	TX	USW00022010	DEL RIO INTL AP	29.3783	-100.9269	7.2	8.2	9.4	10.2	10.3	10.6	9.9	8.8	7.7	8	7.3	7	55	52	49	51	55	54	50	50	54	56	56	54
EL PASO	TX	USW00023044	EL PASO INTL AP	31.8111	-106.3758	7.4	8.5	9.5	10.5	9.8	8.6	7.7	7	6.9	7.1	7.3	7.2	34	27	20	16	16	18	29	31	31	30	31	37
GALVESTON	TX	USW00012923	GALVESTON SCHOLES FLD	29.2733	-94.8592	11.5	11.8	12	12.6	12.6	11.1	9.6	9.5	9.7	10.6	11.1	11.5	74	75	71	72	70	69	68	67	67	64	66	71
HOUSTON	TX	USW00012960	HOUSTON INTERCONT AP	29.98	-95.36	7.9	8.4	8.7	8.9	8.3	7.1	6.1	6	6.3	6.9	7.4	7.6	62	61	59	57	58	59	57	56	58	56	59	62
LUBBOCK	TX	USW00023042	LUBBOCK	33.6542	-101.8136	11.7	12.4	13.7	14.4	13.7	13.1	11	9.9	10.2	11	11.5	11.4	48	47	40	37	42	44	46	48	51	46	45	47
MIDLAND-ODESSA	TX	USW00023023	MIDLAND ODESSA	31.9433	-102.1889	10.1	11	11.9	12.8	12.4	12.4	10.8	9.8	9.8	10.2	10.1	9.9	46	44	36	34	37	41	42	42	48	45	43	45
PORT ARTHUR	TX	USW00012917	PORT ARTHUR SE TX AP	29.9506	-94.0206	9.5	10.1	10.1	10.2	9.2	7.8	6.2	6.1	7.2	8.1	8.8	9.3	67	64	62	62	62	63	64	63	62	58	61	66
SAN ANGELO	TX	USW00023034	SAN ANGELO	31.3711	-100.4922	9.6	10.3	11	11.3	10.5	9.9	9	8.1	7.9	8.6	9.4	9.3	51	50	44	43	48	48	43	44	51	51	49	50
SAN ANTONIO	TX	USW00012921	SAN ANTONIO INTL AP	29.5442	-98.4839	7.6	8.1	9	9.3	9.4	9.2	8.7	8	7.2	7.5	7.5	7.4	57	57	55	56	59	56	52	50	54	54	55	56
VICTORIA	TX	USW00012912	VICTORIA RGNL AP	28.8614	-96.9303	9.7	10.3	10.8	11.1	10.6	9.3	8.5	8	7.8	8.4	8.9	9.3	64	62	59	59	60	59	56	55	59	56	59	62
WACO	TX	USW00013959	WACO RGNL AP	31.6189	-97.2283	10	10.6	11.3	11.4	10.6	10	9.8	9	8.4	9.2	9.8	9.6	62	61	57	57	59	54	48	47	52	54	57	60
WICHITA FALLS	TX	USW00013966	WICHITA FALLS MUNI AP	33.9786	-98.4928	10.9	11.5	12.5	12.8	12.2	11.7	10.7	9.7	9.7	10.7	11.1	10.6	54	54	49	48	53	50	45	44	50	50	51	54
SALT LAKE CITY	UT	USW00024127	SALT LAKE CITY INTL AP	40.7781	-111.9694	6.5	7.6	9	9.5	9	9.2	9.1	9.3	8.8	8	7.6	6.9	70	60	46	39	33	25	21	23	29	42	60	72
BURLINGTON	VT	USW00014742	BURLINGTON INTL AP	44.4683	-73.15	9.2	8.7	8.9	8.9	8.3	7.7	7.1	6.9	7.4	8.1	9	8.9	64	61	57	51	51	54	53	55	59	60	64	67
LYNCHBURG	VA	USW00013733	LYNCHBURG RGNL AP	37.3208	-79.2067	6.4	6.5	7.1	7.2	5.9	5.1	4.7	4.5	5	5.2	5.6	5.7	53	50	48	45	53	54	56	57	57	52	51	54
NORFOLK	VA	USW00013737	NORFOLK INTL AP	36.9033	-76.1922	10	10.3	10.9	11	9.9	9.1	8.5	8	9.2	9.1	9.3	9.5	58	56	54	51	57	57	59	61	61	59	57	59
RICHMOND	VA	USW00013740	RICHMOND INTL AP	37.505	-77.3203	8.3	8.5	9.2	9.1	7.8	7.3	6.9	6.3	6.8	6.9	7.5	7.5	55	51	48	46	52	53	55	57	56	53	51	55
ROANOKE	VA	USW00013741	ROANOKE RGNL AP	37.3169	-79.9742	8	8	8.3	7.9	6.5	5.9	5.5	5	5.1	5.7	6.6	7.1	52	50	47	45	51	53	53	55	55	51	50	53
WALLOPS ISLAND	VA	USW00093739	WALLOPS ISLAND FLIGHT FAC	37.9406	-75.4631	9.2	9.7	10.4	10.5	9.6	8.8	8.1	7.8	8.7	8.4	8.6	8.5	62	60	60	59	64	65	66	66	65	61	60	62
OLYMPIA	WA	USW00024227	OLYMPIA AP	46.9733	-122.9033	6	5.9	6.4	6.5	6	6.1	5.5	5.2	4.9	5.3	6.3	5.9	81	71	63	57	53	53	48	49	54	69	81	85
QUILLAYUTE	WA	USW00094240	QUILLAYUTE STATE AP	47.9375	-124.555	6.2	6.2	6.3	5.9	5.3	5.1	4.8	4.4	4.2	4.9	6	6.1	84	76	74	69	68	69	67	68	69	77	84	86
SEATTLE	WA	USW00024233	SEATTLE TACOMA INTL AP	47.4444	-122.3139	8.4	8.6	8.6	8.2	7.8	7.7	7.4	7	7	7.3	8.4	8.4	76	69	64	58	54	53	48	50	56	69	76	79
SPOKANE	WA	USW00024157	SPOKANE INTL AP	47.6217	-117.5281	8.1	8.6	9.7	10	9.4	9.3	8.6	8.1	8	8.2	8.7	7.9	80	70	55	43	40	37	26	27	34	51	76	83
WALLA WALLA	WA	USW00024160	WALLA WALLA RGNL AP	46.0947	-118.2869	6.9	7.5	9.1	8.9	8.3	8.6	8.2	7.9	7.3	7.1	7.4	7.2	77	67	52	43	42	35	25	28	33	50	72	79
YAKIMA	WA	USW00024243	YAKIMA AIR TERMINAL	46.5683	-120.5428	4.4	5.5	6.8	7.6	7.5	7.7	7.3	6.7	6.4	5.7	5.1	4.1	72	57	42	34	31	30	25	27	32	44	63	76
BECKLEY	WV	USW00003872	BECKLEY RALEIGH CO AP	37.7836	-81.1231	8.6	8.5	8.5	8.4	7	6	5.4	5.2	5.8	6.5	7.6	8	66	63	57	51	55	60	62	62	62	57	59	65
